When it happens.	Kung magkagayon.
The monkeys like the rain and the snow.	Gusto ng mga unggoy ang ulan at nyebe.
The monkeys need to talk to an expert.	Kailangan kumausap n mga unggoy sa eksperto.
The monkeys robbed a bank in Paris.	Nilooban ng mga unggoy ang isang bangko sa paris.
The monkeys say that the cat came to brazil.	Sinabi ng unggoy na pumunta ang pusa sa brazil.
The monkeys say the dog is very peculiar.	Sabi ng mga unggoy na ang aso ay kakaiba.
The monkeys tell me you're a real expert!	Sabi ng mga unggoy na ikaw ay isang esperto!
The monkeys won't be ready for another month.	Hindi pa handa ang mga unggoy ng isang buwan.
The monkeys would ask you about the party.	Magtatanong ang mga unggoy sayo tungkol sa pagsasama.
The moon affects the waves in the ocean.	Naaapektuhan ng buwan ang mga alon sa karagatan.
The moon emerged from behind the cloud.	Ang buwan ay nagpakita mula sa likod ng ulap.
The moon is the earth's only satellite.	Ang buwan lang ang tanging satellite ng Earth.
The moon is the earth's only satellite.	Ang buwan lang ang tanging satelayt ng daigdig.
The moon shall not give her light.	ang buwan ay hindi magbibigay ng kaniyang liwanag.
The moon shines when the sun has set.	Lumiliwanag ang buwan kapag lumubog na ang araw.
The mosquito believe tom will agree to do that.	Ang lamok ay naniwalang gagawin iyon ni tom.
The mosquito can't do that at this point.	Hindi magagawa iyan ng lamok ngayon.
The mosquito cooked dinner for tom.	Nagluto ng hapunan ang lamok para kay tom.
The mosquito didn't know what you were trying to do.	Hindi alam ng lamok ang gusto mong gawin.
The mosquito do not even know how old tom is.	Hindi alam ng lamok kung ilang tao na si tom.
The mosquito do not know what else to do.	Hindi alam ng lamok ang kanyang gagawin.
The mosquito do not often go to lunch with tom.	Madalang magtanghalian ang lamok kasama si tom.
The mosquito got back from Boston last night.	Bumalik ang lamok mula sa Boston kagabi.
The mosquito guess tom will have to do that.	Sa tingin ng lamok, kailangan iyong gawin ni tom.
The mosquito left you a message at the front desk.	Ang lamok ay nag-iwan ng mensahe sa tanggapan.
The mosquito like my life the way it is now.	Gusto ng lamok kung ano ang buhay ko ngayon.
The mosquito stayed there for three days.	Nanatili ang lamok doon ng tatlong araw.
The mosquito was embarrassed by what she said.	Napahiya ang lamok sa kanyang sinabi.
The mosquito went to Kyoto by car.	Pumunta sa Kyoto ang lamok gamit ang kotse.
The mosquito will grow many trees here.	Maraming puno ang palalaguin ng lamok dito.
The mosquitoes acclaimed her Queen.	Ipinagbunyi ng mga lamok ang kanilang reyna.
The mosquitoes agreed to meet me here.	Ang mga lamok ay nagkasundo na dito magkita.
The mosquitoes all laughed at his jokes.	Tumawa ang lamok sa lahat ng kanyang biro.
The mosquitoes all speak French.	Nagsasalita ng wikang frances ang lahat ng mga lamok.
The mosquitoes are always hard up for food.	Laging nagsusumikap ang mga lamok para sa pagkain.
The mosquitoes are suffering from hunger.	Ang mga lamok ay nagdudusa sa kagutuman.
The mosquitoes belong to the chess club.	Hindi kabilang ang lamok sa samahan ng chess.
The mosquitoes bring some books to me.	Nagdadala ng ilang libro ang mga lamok sa akin.
The mosquitoes buy vegetables at the supermarket.	Bumili ang mga lamok ng gulay sa palengke.
The mosquitoes can't do what they do.	Hindi magawa ng lamok ang kaya nilang gawin.
The mosquitoes can't possibly work.	Hindi posibleng makapagtrabaho ang mga lamok.
The mosquitoes clearly take this football thing seriously.	Sineseryoso ng mga lamok ang football.
The mosquitoes contradict themselves constantly.	Laging kinokontra ng mga lamok ang sarili nila.
The mosquitoes couldn't do what you do.	Hindi kaya ng lamok gawin ang kaya mong gawin.
The mosquitoes did an unimaginable job.	Gumawa ang lamok ng hindi kapani-paniwalang bagay.
The mosquitoes did not keep their word.	Hindi pinanindigan ng lamok ang kanyang salita.
The mosquitoes do many things together.	Gumawa ang mga lamok ng mga bagay ng sama-sama.
The mosquitoes do not have any ideas at this time.	Walang ideya ang lamok sa oras na ito.
The mosquitoes do not trust each other.	Hindi pinagkakatiwalaan ng mga lamok ang isa't isa.
The mosquitoes forgot to turn off the light.	Nakalimutan ng mga lamok patayin ang ilaw.
The mosquitoes go to work on foot.	Nakapaang pumapasok sa trabaho ang mga lamok.
The mosquitoes had to judge it for myself.	Kinailangan ng lamok na maghukom pasa sa sarili ko.
The mosquitoes had to pay no less than 1.	Kinailangan magbayad ng lamok ng hindi bababa sa 1.
The mosquitoes have to get the laundry dried.	Kailangang patuyuin ng lamok ang labahan.
The mosquitoes just want to hop into my boat.	Gustong sumama ng lamok sa barko ko.
The mosquitoes just wish the dog could be here.	Pangarap ng lamok na makasama dito ang aso.
The mosquitoes kept their findings secret.	Inilihim ng mga lamok ang kanilang natuklasan.
The mosquitoes know how to ride a horse.	Alam ng lamok paano sumakay ng kabayo.
The mosquitoes look like a happy family.	Ang mga lamok ay mukhang masayang pamilya.
The mosquitoes made a claim for higher pay.	Humiling ng mas mataas na bayad ang mga lamok.
The mosquitoes need to face the consequences.	Kailangan harapin ng mga lamok ang kalalabasan.
The mosquitoes never could keep a secret.	Hindi kayang magtago ng lamok ng lihim.
The mosquitoes really agree with you.	Talagang sumasang-ayon ang lamok sa iyo.
The mosquitoes refused to admit they were wrong.	Hindi inaamin ng mga lamok na nagkamali sila.
The mosquitoes run like pigs from a gun.	Tumatakbo ng parang baboy ang mga lamok sa baril.
The mosquitoes say that that drug is not safe.	Ang droga ay hindi ligtas ayon sa mga lamok.
The mosquitoes sell eggs at the supermarket.	Nagbenta ang mga lamok ng itlog sa palengke.
The mosquitoes shifted the blame onto my shoulders.	Ipinasa ng mga lamok ang sisi sa akin.
The mosquitoes stole your wallet on the train.	Ninakaw ng mga lamok ang pitaka mo sa tren.
The mosquitoes swam out to the island.	Lumangoy ang mga lamok palabas ng isla.
The mosquitoes tell us what to do.	Sinasabi sa amin ng mga lamok anong gagawin.
The mosquitoes think you can help the dog.	Iniisip ng lamok na kaya mong tulungan ang aso.
The mosquitoes were busy with housework.	Ang mga lamok ay abala sa gawaing bahay.
The mosquitoes won't be at today's meeting.	Wala ang lamok sa pagpupulong ngayon.
The mosquitoes wouldn't tell me the truth.	Hindi sasabihin sa akin ng mga lamok ang totoo.
The mosquitoes wouldn't worry about them.	Hindi mag-aalala ang lamok tungkol sa kanila.
The moth bought five ten-yen stamps.	Bumili ang gamugamo ng limang sampung yen na selyo.
The moth can't change the way the dog is.	Hindi mababago ng gamugamo ang pamamaraan ng aso.
The moth can't imagine myself doing that.	Hindi maisip ng gamugamo na ginagawa ko iyon.
The moth didn't mean to overwhelm you.	Hindi intensyong ng gamugamo na mapuspos ka.
The moth do not know much about this subject.	Walang alam masyado ang gamugamo sa paksang ito.
The moth do not know very many Canadians.	Hindi gaanong maraming canadian ang kilala ng gamugamo.
The moth do not make faces at them.	Hindi gumagawa ng mukha ang gamugamo sa kanila.
The moth do not meet too many women.	Hindi nakikipagkita ang gamugamo ng maraming babae.
The moth do not pay you to think.	Hindi binabayaran ng gamugamo ikaw para mag-isip.
The moth found it difficult to make myself heard.	Nakita ng gamugamo na marinig ka.
The moth guess you didn't quite understand me.	Inaakala ng gamugamo na hindi ka naintindihan.
The moth have to answer this letter right away.	Kailngan sumagot agad ng gamugamo sa liham ko.
The moth haven't ruled out doing that yet.	Hindi pa tinatanggal sa isip ng gamugamo gawin iyon.
The moth is ashamed of my poor English.	Nahihiya ang gamugamo sa aking pangit na ingles.
The moth must prepare for the exam.	Dapat maghanda ang gamugamo para sa pagsusulit.
The moth see your friend's ring.	Naita ng gamugamo ang singsing ng kaibigan mo.
The moth suppose you want to ask me why.	Inaakala ng gamugamo kung bakit tinanong mo ako.
The moth think we should go with them.	Iniisip ng gamugamo na dapat sumama tayo sa kanila.
The moth was made to go against my will.	Pinilit ang gamugamo upang lumabag sa gusto ko.
The moth wonder what the moth will do.	Iniisip ng gamugamo anong gagawin ng gamugamo.
The moth wrote the answers carefully.	Sinulat ng gamugamo ng maingat ang mga sagot.
The mother cat went out hunting birds.	Ang inang pusa ay naghanap ng mga ibon.
The moths adopted a new policy.	Nagtalaga ang mga gamugamo ng bagong polisiya.
The moths almost missed the deadline.	Muntik anng makaligtaan ng mga gamugamo ang huling araw.
The moths are rowing a boat on the pond.	Sumasagwan ang mga gamugamo ng bangka sa lawa.
The moths attained their purpose at last.	Natamo ng mga gamugamo ang kanilang adhikain.
The moths came from all over the world.	Nanggaling ang mga buwala sa iBakit-ibang sulok ng mundo.
The moths can't do anything else.	Walang kayang gawin ang mga gamugamo na kahit ano.
The movie wasn't as funny as the book.	Ang pelikula ay hindi kasing nakakatawa tulad ng libro.
The music is too loud for my ears.	Sobra sa lakas ang tugtog para sa aking tenga.
The neighbor asked me to walk the dog.	Pinakiusapan ako ng kapitbahay na ilakad ang aso.
The nematodes are rich in humid water.	Ang mga nematoda'y sagana sa kapwa malupa't tubigang pook.
The new batch of magical bears wear bands.	Ang bagong drupo ng mahikal na mga oso ay may tali.
The new recruits are close to one another.	Malapit sa isa't isa. ang mga bagong rekrut.
The new recruits are close to one another.	Ang mga bagong rekrut ay malapit sa isa't isa.
The new team leader looks promising.	Mukhang maaasahan ang bagong pinuno ng koponan.
The new team leader looks promising.	Ang bagong pinuno ng koponan ay mukhang maaasahan.
The new term starts in April in Japan.	Ang bagong term sa Japan ay magsisimula sa Abril.
The news announces the death of birds.	Sabi sa balita na namatay ang ilang ibon.
The news announces the death of hens.	Sabi sa balita na namatay ang ilang inahin.
The news announces the death of sheep.	Sabi sa balita na namatay ang ilang tupa.
The news do not know of the killer birds.	Hindi alam ng balita ang mga mamamatay ibon.
The news do not know of the killer hens.	Hindi alam ng balita ang mga mamamatay inahin.
The news do not know of the killer sheep.	Hindi alam ng balita ang mga mamamatay tupa.
The news finally reached me last night.	Sa wakas ay dumating na rin sa akin kagabi ang balita.
The news of his death spread around.	Ang balita ng kanyang pagkamatay ay kumalat.
The news that I heard yesterday was very sad.	Ang balita na nadinig ko kahapon ay malungkot.
The next chapter is not included in the exam.	Hindi kasama sa pagsusulit ang susunod na kabanata.
The next day I found that she remembered all.	kinabukasan ay nalaman kong naaalala niya lahat.
The next day we went to Ghost Museum.	Sa sumunod na araw nagpunta namin kami sa Ghost Museum.
The next day, the laugh was the other way.	kinabukasan, iba na ang kanyang tawa.
The next morning she was very docile.	noong sumunod na araw ay napaka-maamo niya pa rin.
The next morning she woke, still in her clothing.	nagising siya ng umaga na nakadamit pa rin.
The next station is Tottenham Court.	Ang susunod na istasyon ay Tottenham court.
The next station is where you get off.	Ang sunod na istasyon ay kung saan ka bababa.
The next step was to sign the document.	Ang sunod na hakbang ay pirmahan ang dokumento.
The next time I buy, I'll give half to you.	Sa susunod na bumili ako ay hahatian kita.
The nice dog is eating a tasty meal.	Kumakain ng malasang pagkain ang mabait na aso.
The Normans conquered England in 1066.	Sinako ng mga Norman ang Inglatera noong 1066.
The nose of an elephant shoots water.	Tumitira ng tubig ang ilong ng isang elepante.
The number of students is dropping.	Ang bilang ng mga estudyante ay kumokonti.
The office database is not accessible online.	Hindi naa-access online ang database ng opisina.
The office database is not accessible online.	Ang database ng opisina ay hindi naa-access online.
The officials found irregularities.	May nahanap na pagkakamali ang mga opisyal.
The old chair groaned under her weight.	Ang lumang upuan ay tumunog sa kanyang bigat.
The old dog wants food from the farm.	Gusto ng matandang aso ng pagkain na galing sa bukid.
The old equipment were left in a corner.	Ang mga lumang kagamitan ay iniwan sa isang sulok.
The old lady walked slowly up the hill.	Ang matandang babae ay dahan-dahang umakyat sa burol.
The old man lived there by himself.	Ang matandang lalaki ay nanirahan doon mag-isa.
The old man passed away this morning.	Ang matandang lalaki ay pumanak kaninang umaga.
The old man was almost hit by a car.	Ang matandang lalaki ay muntikan nang mabunggo ng sasakyan.
The old woman got hurt when she fell.	Nasaktan ang matandang babae nang siya ay mahulog.
The one that I love is an angel in disguise.	Ang aking iniirog ay isang anghel na nakatago.
The only thing remaining is for me to urinate outside.	Kulang na lang ay umihi ako sa labas.
The other bulls are gathered in the dining area.	Nasa hapag kainan ang ibang mga toro.
The other bulls took notice of the special bull.	Napansin ng ibang toro ang espesyal na toro.
The other centipedes look at the baby centipede.	Tinignan ng ibang luslos ang batang luslos.
The other centipedes see the centipede's body.	Nakita ng ibang mga luslos ang katawan ng luslos.
The other chicken helps the stuck chicken.	Tinulungan ng ibang manok ang na-stuck na manok.
The other day I had a fine party.	masaya ang aking selebrasyon noong isang araw.
The other deer see the deer's body.	Nakita ng ibang mga usa ang katawan ng usa.
The other deer try to take the baby deer.	Sinubukang kunin ng ibang usa ang batang usa.
The other dragonflies look at the baby dragonfly.	Tinignan ng ibang tutubi ang batang tutubi.
The other dragonflies see the dragonfly's body.	Nakita ng ibang mga tutubi ang katawan ng tutubi.
The other ducks took notice of the special duck.	Napansin ng ibang bibe ang espesyal na bibe.
The other fishes do not believe the fish.	Hindi pinaniwalaan ng mga isda ang isda.
The other frogs do not believe the frog.	Hindi pinaniwalaan ng mga palaka ang palaka.
The other jellyfish helps the stuck jellyfish.	Tinulungan ng ibang dikya ang na-stuck na dikya.
The other jellyfishes do not notice a thing.	Hindi nakahalata ang ibang dikya.
The other kittens are gathered in the dining area.	Nasa hapag kainan ang ibang mga kuting.
The other pigs are gathered in the dining area.	Nasa hapag kainan ang ibang mga baboy.
The other snakes took notice of the special snake.	Napansin ng ibang ahas ang espesyal na ahas.
The outraged employee resigned at once.	Ang galit na trabahador ay nagbitiw sa tungkulin kaagad.
The owl also heard a similar story.	Naparinig ng kuwago rin ang kahawig na kuwento.
The owl can't do anything but obey him.	Wala ang kuwago magawa kung hindi sundin siya.
The owl can't live without a tv.	Hindi ang kuwago mabubuhay nang walang telebisyon.
The owl do not care how old you are.	Wala ang kuwago paki-alam kung gaano ka katanda.
The owl gave my sister a dictionary.	Binigyan ng kuwago ang kapatid ng kuwago ng diksiyunaryo.
The owl have a dictionary in my hand.	May diksiyunaryo ang kuwago sa kamay ng kuwago.
The owl hope they aren't deceiving me.	Sana'y hindi ng mga kuwago ang kuwago nilolong kuwago.
The owl like science fiction better.	Mas gusto ng kuwago ang siyensiyang piksiyon.
The owl saw the man enter the room.	Nakita ng kuwago 'yong taong pumasok sa silid.
The owl see a flower on the desk.	Kita ng kuwago may bulaklak sa ibabaw ng pupitre.
The owl spent the whole day cleaning up the room.	Buong araw ay naglinis ang kuwago ng kuwarto.
The owl think tom looks a lot like john.	Sa tingin ng kuwago masyadong kamukha ni tom si john.
The owl usually go to bed at nine.	Karaniwang nasa kama na ang kuwago nang alas nuwebe.
The owl want to be in your plan.	Gusto ng kuwago ang kuwago maging nasa plano mo.
The owl wanted to go to the concert.	Gusto ng kuwago sanang pumunta sa concert.
The owl was raised eating Mexican food.	Lumaki ang kuwago nakain ng pagkaing meksikano.
The owl will be out of town for a few days.	Wala ang kuwago sa bayan nang ilang araw.
The owls were stranded on a deserted island.	Naiwanan ang mga kuwago sa isang pulong walang tao.
The oxidation of food in organic acids.	Ang oksidasyon ng pagkain sa asidong organiko.
The packing tape is in the file cabinet.	Ang packing tape ay nasa file cabinet.
The passage of time will grow the repository.	ang paglipas ng panahon ang magpapalaki sa imbakan.
The patrolman motioned me to pull over.	Sinenyasan ako ng pulis na itigil ang sasakyan.
The peace might change at any moment.	ang kapayapaan ay maaaring magbago sa anumang sandali.
The peach tree is beautiful when in flower.	Pagka namumulaklak, maganda ang puno ng milokoton.
The pen I lost yesterday was a new one.	Ang bolpen na nawala ko kahapon ay bago pa.
The penalty was divided among the chicks and chicks.	Hinati ang parusa sa mga sisiw at sisiw.
The penalty was divided among the dogs and cats.	Hinati ang parusa sa mga aso at pusa.
The people are clapping for it to repeat.	Pumapalakpak ang mga tao para umulit.
The people carefully went out of the building.	Maingat na lumabas ng gusali ang mga tao.
The people had developed irrigation systems.	Nakabuo ng mga sistemang patubig ang mga tao.
The people had developed irrigation systems.	Nakabuo ng mga sistemang irigasyon ang mga tao.
The people had developed irrigation systems.	Ang mga tao ay nakabuo ng mga sistemang patubig.
The people had developed irrigation systems.	Ang mga tao ay nakabuo ng mga sistemang irigasyon.
The people rebelled against the king.	Ang mga tao ay naghimagsik laban sa hari.
The permanence is profound and epic.	Ang pagiging permanente ay malalim at kakaiba.
The person with me in the house suddenly laughed.	Biglang tumawa ang kasama ko sa bahay.
The Philippines is full of natural resources.	Puno ng likas na kayamanan ang Pilipinas.
The Philippines is in South-East Asia.	Ang Pilipinas ay nasa Timog-Silangang Asya.
The phone is ringing.	Nagriring ang telepono.
The picture looks better at a distance.	Ang litrato ay mas maganda mula sa malayo.
The pig decides to go to another school.	Nagdesisyon ang baboy na pumunta sa ibang paaralan.
The pig is determined to avenge a friend.	Determinado ang baboy na ipaghiganti ang kaibigan.
The pig is enjoying itself rolling in the mud.	Tinatangkilik ng baboy ang paggulong nito sa putik.
The pig is lucky to have friends.	Maswerte ang baboy na magkaroon ng kaibigan.
The pig is lucky to have good grades.	Maswerte ang baboy na magkaroon ng magandang grado.
The pig was the special for dressing up.	Espesyal ang baboy dahil sa paraan ng pananamit.
The pigs can only escape if they are lucky.	Makakatakas ang mga baboy kapag maswerte sila.
The pig's evidence points to the athlete.	Tumuturo ang ebidensya sa isang atleta.
The pigs gave the pig a welcome tour.	Binigyan ng lakbay ng mga baboy ang baboy.
The pirate cockroach follows the cockroach.	Sinundan ng piratang ipis ang ipis.
The pirate cockroach wants to make money.	Gusto ng piratang ipis kumita ng pera.
The pirate cockroach will sell the fruit.	Ibebenta ng piratang ipis ang prutas.
The pirate rabbit wants to make money.	Gusto ng piratang kuneho kumita ng pera.
The pirate rabbit will sell the fruit.	Ibebenta ng piratang kuneho ang prutas.
The plan requires a large sum of money.	Ang plano ay nangangailangan ng malaking halaga ng pera.
The plane is flying above the clouds.	Sa itaas ng mga ulap lumilipad ang eroplano.
The plane is waiting for your arrival.	Hinihintay ng eroplano ang pagdating mo.
The planes arrived one after another.	Ang mga eroplano ay nagsimulang magsidatingan.
The plants and flowers are nice to look at.	Magandang tingnan ang mga halaman at bulaklak.
The police and Joy's father have no clue.	Ang mga pulis at ang tatay niya ay walang kaalam-alam.
The police arrested the suspect yesterday.	nahuli na ng mga pulis ang pinaghihinalaan kahapon.
The police called regarding the missing woman.	Tumawag ang pulis tungkol sa nawawalang babae.
The police informed us of the accident.	Sinabihan kami ng pulis tungkol sa aksidente.
The policeman grabbed the robber's arm.	Kinuha ng pulis ang braso ng magnanakaw.
The poor boy was at a loss what to do.	Hindi alam ng nakakaawang lalaki ang gagawin.
The poor boy was knocked down by a car.	Ang kawawang bata ay nabunggo ng kotse.
The poor boys were shivering with fear.	Ang kawawang mga lalaki ay nanginginig sa takot.
The power has been off since this morning.	Wala pa ring kuryente mula kanina pang umaga.
The Prague Party Conference takes place.	Nangyari ang Prague Party Conference.
The premises have been completely refurbished.	Ang mga lugar ay ganap nang binago.
The presentation of the projects is already tomorrow.	Bukas na ang presentasyon ng mga proyekto.
The president addressed a large audience.	Nagtalumpati ang pangulo sa maraming tao.
The President dictated in front of the podium.	Nagdikta sa harap ng podium ang Pangulo.
The price of apple is getting more expensive.	tumataas ang presyo ng mansanas.
The price of bitter gourd is getting cheaper.	bumababa ang presyo ng ampalaya.
The price of bitter gourd is getting more expensive.	tumataas ang presyo ng ampalaya.
The price of black plum is getting more expensive.	tumataas ang presyo ng duhat.
The price of bottle gourd is getting more expensive.	tumataas ang presyo ng upo.
The price of cabbage is getting more expensive.	tumataas ang presyo ng repolyo.
The price of eggplant is getting more expensive.	tumataas ang presyo ng talong.
The price of food in the canteen went up.	Nagtaas ng presyo ng pagkain sa kantina.
The price of gold fluctuates daily.	Ang presyo ng ginto ay nagbabago-bago araw-araw.
The price of jackfruit is getting more expensive.	tumataas ang presyo ng langka.
The price of kidney bean is getting more expensive.	tumataas ang presyo ng patani.
The price of lanzones is getting more expensive.	tumataas ang presyo ng lanzones.
The price of lima bean is getting more expensive.	tumataas ang presyo ng bataw.
The price of malay apple is getting more expensive.	tumataas ang presyo ng makopa.
The price of manila bean is getting cheaper.	bumababa ang presyo ng sigarilyas.
The price of manila bean is getting more expensive.	tumataas ang presyo ng sigarilyas.
The price of milkfish is getting more expensive.	tumataas ang presyo ng bangus.
The price of mustard is getting more expensive.	tumataas ang presyo ng mustasa.
The price of octopus is getting more expensive.	tumataas ang presyo ng pugita.
The price of orange is getting more expensive.	tumataas ang presyo ng dalanghita.
The price of pineapple is getting more expensive.	tumataas ang presyo ng pinya.
The price of radish is getting more expensive.	tumataas ang presyo ng labanos.
The price of rambutan is getting more expensive.	tumataas ang presyo ng rambutan.
The price of sardines is getting more expensive.	tumataas ang presyo ng sardinas.
The price of soursoup is getting more expensive.	tumataas ang presyo ng guyabano.
The price of squash is getting more expensive.	tumataas ang presyo ng kalabasa.
The price of starfruit is getting more expensive.	tumataas ang presyo ng balimbing.
The price of strawberry is getting more expensive.	tumataas ang presyo ng presa.
The price of sugar apple is getting more expensive.	tumataas ang presyo ng atis.
The price of tamarind is getting more expensive.	tumataas ang presyo ng sampalok.
The price of tomato is getting more expensive.	tumataas ang presyo ng kamatis .
The price of turnip is getting more expensive.	tumataas ang presyo ng singkamas.
The price of wax gourd is getting more expensive.	tumataas ang presyo ng kundol.
The price of whale shark is getting cheaper.	bumababa ang presyo ng butanding.
The price of whale shark is getting more expensive.	tumataas ang presyo ng butanding.
The prices in the canteen went up again.	Tumaas na naman ang presyo sa kantina.
The prince and princess are chasing one another.	Ang prinsipe at prinsesa ay naghahabulan.
The prince cow disagrees to the marriage.	Hindi pumayag ang prinsipeng baka sa kasal.
The prince cow fights the guards.	Nilabanan ng prinsipeng baka ang mga bantay.
The problem is how to raise the funds.	Ang problema ay kung paano lilikom ng pera.
The program I have chosen is the STEM.	Ang programang aking pinili ay ang STEM.
The project fell through due to lack of money.	Pumalpak ang proyekto dahil sa kakulangan ng pera.
The project will be passed this Thursday.	Ang proyekto ay ipapasa ngayong Huwebes.
The puppies made us work all day long.	Ang mga tuta ay nagpatrabaho sa amin ng buong araw.
The puppy got injured playing floorball.	Nasaktan ang tuta kakalaro ng floorball.
The puppy have wonderful memories of Boston.	Ang tuta ay mayroong magagandang alaala ng Boston.
The puppy saw through his little game.	Ang tuta ay nakaunawa ng kanyang maliit na laro.
The puppy's floorball stick has a new grip.	Ang floorball stick ng tuta ay may bagong grip.
The puppy's floorball stick has an old grip.	Ang floorball stick ng tuta ay may lumang grip.
The Queen lives in Buckingham Palace.	Ang reyna ay nakatira sa Buckingham Palace.
The questions a while ago were not humane.	Hindi maka-tao ang mga tanong kanina.
The questions given to us were different.	Magkaiba ang mga tanong na binigay sa atin.
The questions were not made well.	Hindi maganda ang pagkakagawa ng mga tanong.
The rabbit arrives at their destination.	Dumating ang kuneho sa kanilang destinasyon.
The rabbit destroy the pirate rabbit's boat.	Sinira ng kuneho ang barko ng piratang kuneho.
The rabbit discover a weird fruit.	May nadiskubreng kakaibang prutas ang kuneho.
The rabbit has a friend who can do magic.	May kaibigan ang kuneho na kayang mag magmahika.
The rabbit is looking for its brother.	Hinahanap ng kuneho ang kanyang kapatid.
The rabbit knows its brother is alive.	Alam ng kuneho na buhay ang kanyang kapatid.
The rabbit makes friends with another rabbit.	Nakipagkaibigan ang kuneho sa isa pang kuneho.
The rabbit meets with its friends.	Nakipagkita ang kuneho sa kanyang mga kaibigan.
The rabbit's brother is inside the room.	Nasa loob ng kwarto ang kapatid ng kuneho.
The rabbit's brother needs the fruit.	Kailangan ng kapatid ng kuneho ang prutas.
The rabbit's brother was last seen yesterday.	Huling nakita ang kapatid ng kuneho kahapon.
The rabbits decide to journey together.	Nadgdesisyon ang mga kuneho na maglakbay ng sama-sama.
The rabbit's friend discover food.	May nadiskubreng pagkain ang kaibigan ng kuneho.
The rabbit's friend discover water.	May nadiskubreng tubig ang kaibigan ng kuneho.
The rabbit's friends explore the island.	Inikot ng mga kaibigan ng kuneho ang isla.
The rabbits' friends get on the boat.	Sumakay ng barko ang mga kaibigan ng kuneho.
The rabbit's friends help in the fight.	Tumulong ang mga kaibigan ng kuneho sa laban.
The rabbits gather around the weird fruit.	Pinalibutan ng mga kuneho ang kakaibang prutas.
The rain has let up, so we can begin.	Tumila na ang ulan, kaya pwede na tayo magsimula.
The rain specks collecting on the window.	ang mga ulan na tumutukoy sa pagkolekta sa bintana.
The rat can't let the dog go alone.	Hindi kayang iwan ng daga ang aso na mag-isa.
The rat can't remember ever doing that.	Hindi maalala ng daga na ginagawa iyon.
The rat couldn't help staring at her.	Hindi maiwasan ng daga na tumingin sa kanya.
The rat didn't need to take my shoes off.	Hindi kinailangan ng daga na tanggalin ang sapatos ko.
The rat does not like to stay at home by myself.	Ayaw ng daga na mag-isa sa bahay ako.
The rat had to swallow my pride.	Kinailangang ilunok ng daga ang kayabangan ko.
The rat has something to discuss with you.	May kailangang sabihin ang daga sa iyo.
The rat has to get in touch with the dog.	Kailangang ma-usap ng daga at ng aso.
The rat hears you studied at Harvard.	Narinig ng daga na nag-aral ka sa harvard.
The rat is trying to escape the cage.	Sinusubikang makalabas ng daga sa kulungan.
The rat likes teaching little children.	Gusto ng daga magturo sa mga maliliit na bata.
The rat thanked the dog for his time.	Nagpasalamat ang daga sa aso para sa oras niya.
The rat thinks it might be impossible to do that.	Iniisip ng daga na imposible gawin iyon.
The rat thinks the rat will do that the tomorrow.	Iniisip ng daga na gagawin iyon ng daga bukas.
The rat thinks we can trust her.	Iniisip ng daga na mapagkakatiwalaan natin siya.
The rat thought we weren't going to do that.	Inisip ng daga na hindi natin gagawin iyon.
The rat usually wears jeans on Sunday.	Palagiang nagsusuot ng pantalon ang daga tuwing linggo.
The rat wants to know how much money you spent.	Gustong malaman ng daga magkano ang ginastos mo.
The rats are easy to distinguish from each other.	Madaling malaman ang daga mula sa ibang daga.
The rats chatted with each other to pass the time.	Nagdaldalan ang mga daga pampalipas ng oras.
The rats despise linguistic diversity.	Kinamumuhian ng mga daga ang pagkakaiba sa linguista.
The rats did not know what to do first.	Hindi alam ng mga daga anong unang gagawin.
The rats gathered flowers together.	Naghalungkat ng sama-sama ang mga daga ng mga bulaklak.
The rats go to church every Sunday.	Pumupunta sa simbahan ang mga daga tuwing linggo.
The rats haven't spoken in two months.	Hindi nag-uusap ang mga daga sa loob ng dalawang buwan.
The rats met the cat here yesterday.	Nagkita ang daga at ang pusa dito kahapon.
The rats seem to have had a good time in Rome.	Nagkaroon ng magandang oras ang mga daga sa roma.
The rats treated me like a criminal.	Tinarato ako ng mga daga na parang kriminal.
The reason why the feeling has run dry.	Ang sanhi kung bakit ang damdamin ay tuyo.
The refugees struggled against hunger.	Ang mga refugee ay nahirapan sa pagkagutom.
The reggaeton rattles from the speakers.	ang reggaeton ay umiingay mula sa mga nagsasalita.
The release of the announcements is taking a long time.	Ang tagal ilabas ang anunsyo.
The release of the announcements is taking so long.	Ang tagal naman ilabas ng anunsyo.
The release of the results is taking a long time.	Ang tagal ilabas ng resulta.
The release of the results is taking so long.	Ang tagal naman ilabas ng resulta.
The requirements for the scholarship are high.	Mataas ang mga kinakailangan para sa iskolarship.
The restroom was closed for maintenance.	Isinara ang banyo para sa maintenance.
The restroom was closed for maintenance.	Ang banyo ay isinara para sa maintenance.
The results of the exam will be returned later.	Ibabalik ang resulta ng pagsusulit mamaya.
The results will be back in a week.	Ang resulta ay dadating makalipas ang isang linggo.
The rich and the poor separated at dinner.	Naghiwalay ang mga mayayaman at mahihirap sa hapunan.
The ring was not to be found anywhere.	Ang singsing ay hindi mahanap kahit saan.
The rival bee is good at floorball.	Ang kalabang bubuyog ay magaling sa floorball.
The rival bee is not good at floorball.	Ang kalabang bubuyog ay hindi magaling sa floorball.
The rival bee's team has no members.	Walang miyembro ang koponan ng kalabang bubuyog.
The rival bee's team has no wins.	Wala pang panalo ang koponan ng kalabang bubuyog.
